question,context,answer,ground_truth
"What are the common side effects of aspirin?","Aspirin is a common pain reliever that can cause stomach upset, bleeding, and allergic reactions in some patients.","Aspirin can cause stomach upset, bleeding, and allergic reactions. Always consult your healthcare provider before taking any medication.","Aspirin side effects include stomach irritation, bleeding risk, and potential allergic reactions."
"How should diabetes be managed?","Diabetes management involves blood sugar monitoring, diet control, exercise, and medication as prescribed by healthcare providers.","Diabetes management includes monitoring blood sugar, following a healthy diet, regular exercise, and taking prescribed medications under medical supervision.","Diabetes management requires blood sugar monitoring, dietary control, exercise, and medication adherence."
"What is the recommended dosage for ibuprofen?","Ibuprofen dosage typically ranges from 200-800mg every 4-6 hours, but should be taken as directed by a doctor.","Ibuprofen dosage is typically 200-800mg every 4-6 hours, but you should always follow your doctor's specific instructions.","Ibuprofen dosage varies but typically ranges from 200-800mg every 4-6 hours as prescribed."
"What are the symptoms of hypertension?","Hypertension symptoms may include headaches, shortness of breath, nosebleeds, and chest pain, though many patients are asymptomatic.","Hypertension symptoms can include headaches, shortness of breath, nosebleeds, and chest pain, though many people have no symptoms.","Hypertension symptoms include headaches, shortness of breath, nosebleeds, and chest pain."
"How does penicillin work as an antibiotic?","Penicillin works by interfering with bacterial cell wall synthesis, preventing bacteria from growing and reproducing.","Penicillin works by preventing bacteria from building their cell walls, which stops them from growing and reproducing.","Penicillin inhibits bacterial cell wall synthesis to prevent bacterial growth and reproduction."
"What are the contraindications for warfarin?","Warfarin is contraindicated in patients with bleeding disorders, recent surgery, pregnancy, and those taking certain medications that interact with it.","Warfarin should not be used in patients with bleeding disorders, recent surgery, during pregnancy, or when taking certain interacting medications.","Warfarin contraindications include bleeding disorders, recent surgery, pregnancy, and drug interactions."
"How is asthma diagnosed?","Asthma diagnosis involves medical history, physical examination, lung function tests, and sometimes allergy testing to identify triggers.","Asthma diagnosis includes taking a medical history, physical examination, lung function tests, and may involve allergy testing to identify triggers.","Asthma diagnosis requires medical history, physical exam, lung function tests, and trigger identification."
"What are the treatment options for depression?","Depression treatment options include psychotherapy, medication (antidepressants), lifestyle changes, and in severe cases, electroconvulsive therapy.","Depression treatment options include psychotherapy, antidepressant medications, lifestyle modifications, and in severe cases, electroconvulsive therapy.","Depression treatments include psychotherapy, antidepressants, lifestyle changes, and ECT for severe cases."
"How should blood pressure be monitored?","Blood pressure monitoring should be done regularly using a validated device, with multiple readings taken at rest, and results recorded for healthcare provider review.","Blood pressure should be monitored regularly using a validated device, taking multiple readings at rest, and recording results for your healthcare provider to review.","Blood pressure monitoring requires regular use of validated devices with multiple resting readings and provider review."
"What are the signs of a heart attack?","Heart attack signs include chest pain or pressure, shortness of breath, pain radiating to arms or jaw, nausea, and cold sweats.","Heart attack signs include chest pain or pressure, shortness of breath, pain that radiates to arms or jaw, nausea, and cold sweats.","Heart attack symptoms include chest pain, shortness of breath, arm/jaw pain, nausea, and sweating." 
